mardyn trunk 20160512
currentTime	   3.999999999999959e+01
 Length	48 48 48
 Temperature	0.7
 NumberOfComponents	1
1	0	0	0	0
0 0 0	1 1 0.0979013468
0 0 0
1e+10
 NumberOfMolecules	2444
 MoleculeFormat	ICRVQD
295	1	4.5849567827299937406 0.49683785156943965911 1.3205133541303064604	-0.44097464642339490037 0.24846112061614178401 -0.78241378388580717917	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2321	1	28.054233520258154755 1.6867043693090961742 2.3232067381928782623	-0.25504714499823527563 -0.27433908401084150519 -0.017753656139046270629	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
236	1	34.850402447750497004 0.10552568271154726121 1.2081171508231909328	0.077957092876848849139 1.359372207038472169 -0.34192649012914272388	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
15	1	24.21420091384833384 4.9021495992643089323 0.56064250404801885264	-1.448550942630696392 0.14628582081223448497 0.001400920577415704386	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2320	1	28.017539960903000917 4.56019741046738325 2.1336482979475470678	-0.60296800115023785338 -0.2338956554922951292 0.54018351390226093667	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2239	1	39.774084119147836702 3.486214035054427729 2.0215569331833909139	-0.64260804116472469705 -0.17116167929165967965 -1.2343049096412519461	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
51	1	25.221468516092947709 5.6736373393259187381 0.83183262483951803112	-0.69326002070900649699 0.45828197122715153 0.97826127208199975538	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2207	1	22.717794574205779412 8.2676844853476616493 1.3553926745031135148	-1.0233067520388350324 -0.66468627304663807642 0.45238140344941979443	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
374	1	25.505454121396592626 8.7056128241788801603 1.3760749858283642943	-0.57558782668212826739 0.63887056464438718439 0.1897024284903305047	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2086	1	46.714220245748613536 8.4265181387405494462 0.9685854766491545087	-0.23245643608858670981 0.13540935719718136254 -0.74907823372955206764	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
85	1	4.0946778994245169869 11.561620041419095273 1.824838785364953031	0.40752736592399152471 -1.6632020400142102368 0.1094553502430945513	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2291	1	24.910657371813115901 11.543487151611815378 1.6349638875509602265	-0.79219984537567200711 1.6643874508319520533 -1.2759579914240202214	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
373	1	26.807284701137078287 12.614943381501259267 1.6917184699841880668	0.17866743946613036775 1.0172618561756732181 0.32945656889996272065	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2410	1	1.1288784829960578637 13.897521887506831817 0.47193875588831984969	0.032807830766028847624 0.75615709864105740134 1.8142496692215623888	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2420	1	5.4369964952850864393 12.908032293571251259 2.1557140691164580204	-2.31605868429454409 1.3871521411685623359 0.70382890175223411511	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
912	1	13.837498261133109878 13.783567781257449525 2.3982473555531473863	-0.48585544160797533575 -0.51549526163028280834 0.54699873646741425937	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
181	1	23.661946292797193081 14.068146332566735524 0.60485659175073247518	-0.80363669531028636417 0.68326702794551996689 -1.0154055174617182544	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1965	1	24.764273592875500896 13.936283749904481155 1.3585473489004964431	-0.62026134978268676612 -1.330456665234060365 1.1059465998676236698	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2382	1	10.399223895937828033 15.655995285227165326 2.0526945055866616663	-0.1802799593654125232 -0.31573407760727306703 -0.36066151385875666602	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1814	1	5.8035953634259813683 18.760375517346275842 0.96411879648535947496	-1.0795390797991368803 -0.35917909496459099472 -0.36743573320429884221	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
35	1	11.150731856962050159 19.963239172139150668 1.4556809878614074272	-0.72581982040113457444 -1.5293644888754820421 0.3430642931312186672	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2164	1	41.13560255081738859 22.635187803291994868 0.062906291200477443271	0.16669006162019250894 1.2003990884572379727 -2.6668589437555647592	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2364	1	41.131413782850898997 21.37045628421882526 0.12954073459013987213	-0.48664618041317658781 -0.15943338152020897214 0.34670829139310549438	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2378	1	10.180401153853502194 24.546568167462350374 1.9268594681683930414	0.53271888235224074126 0.23516771806058384131 0.52381385622235232535	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2215	1	19.142122332047357247 23.304965358308901813 0.25420046275995811236	-0.10894908400982140917 -0.47018924811385987006 -0.081100277434890427619	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2085	1	27.65684956744566847 24.694200628711186596 0.71981379282821433829	-1.3882135280662784016 0.10355098357703200473 -0.44181421127297848539	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
