mardyn trunk 20160512
currentTime	   1.200000000000547e+02
 Length	48 67 48
 Temperature	0.7
 NumberOfComponents	1
1	0	0	0	0
0 0 0	1 1 0.0979013468
0 0 0
1e+10
 NumberOfMolecules	4414
 MoleculeFormat	ICRVQD
1789	1	16.65337099434221102 1.5764257233511060896 1.3997449743156700208	-1.0429913792112208704 -0.063293504190353941374 -0.67036647695456941243	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1249	1	42.599394745334613788 1.9862785858303433351 0.3301048096297682366	0.86864999188781866213 0.39722585044706154589 1.5908500844375934591	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
623	1	47.217733234462848202 2.638941809552502793 1.4416032625676877821	-0.78660872016835070575 -0.36972202258416259069 2.0417137646517740102	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
4243	1	4.1688670818733069012 5.9472204201400051815 1.6794706142834809892	-0.3344267001160947661 0.15992244306017244782 -1.2734475085734286992	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
172	1	40.213893475499041585 6.1186843918322306735 0.050346397145456127376	-0.45954362971999018761 -0.14330130063002546881 -1.1420008686192011371	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2211	1	19.809282915295703731 9.9957315598156988301 2.2849917163739981163	-0.24679207463006699874 -0.25766188979723769759 -0.13157642018085952129	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1099	1	9.1718264510946774237 11.670140529753100012 1.6427514098707440837	-0.85965562915091520146 0.99220957978174817438 -0.87077773826063009643	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1038	1	29.800761232799942491 10.844966462743062863 0.56330087167203479748	1.2303227377138397092 -1.3344055286534428628 0.28541884565969005694	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1387	1	5.4309290887961694239 14.427114855138997385 1.9367920948747276988	-1.1534270952696952239 0.58124607868451283466 -0.0052281166197801652237	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
4315	1	34.789737538755765911 16.004955136559448903 0.59798541699374962999	0.79197712874979564468 0.058200086894254425551 -1.0705916257686101112	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
3038	1	41.828782850973034613 16.816017980106632734 2.1988686261371834796	0.24768840394037291985 0.85658573744979693565 -0.44248031728078879299	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
3215	1	46.765909702458387187 17.958756057924720295 2.1922357459532895163	0.22996503816124375108 -1.2645214613334556653 0.67410439080190720507	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1193	1	37.862447432109249235 20.167337720166539583 1.6281184987535177733	-1.262749789114283816 -0.40026247287632310545 -0.21012114391530539725	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
4340	1	41.910249116405090319 20.215950670588647142 1.4238232136110020587	0.20561363614400809952 -0.46461579425610782801 -1.5940345180891783983	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
3143	1	45.376281931093366495 18.867693693614562278 2.3152861672183902009	0.77028886514244376826 0.34017574022717517179 0.05374994898944617655	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
4393	1	29.836039429224843644 22.402919336312837828 0.34812916552117373348	-0.30433514720445975499 -1.4318819866593495149 1.0697666269011847362	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
4384	1	38.205607156435782201 22.772708222011292634 1.6004727614110523248	0.28921601147067366178 0.56750680950339016384 1.4996721726935196006	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2420	1	3.3322861240696846075 25.997527528002262187 1.490963093406597384	-3.2108120281515093453 1.1298128886001679305 0.34440998865903077464	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1241	1	9.34859829868595682 26.703309433897054248 0.76320003511844947131	1.2851512610935886816 0.061296920412938001033 1.0148580431308484862	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1985	1	17.133061778135569853 27.151262419926769809 0.47516232645660960721	0.7043868177682904852 0.098225597691574850767 -2.5782800890864892018	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
3206	1	37.014254769538020184 27.533341085918440427 1.4809376543286738581	-0.3156735629656179376 -0.49192261493851119347 -0.89690468580239968155	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2322	1	10.785318828116860601 30.544069862955243622 0.86502956917647555457	0.27386421451286446782 0.016177068688887765585 0.145593224315868075	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
4165	1	27.983059315282691415 30.538316175093935811 1.9690819533651326978	-0.43332521812784174919 -1.3107097796326616646 2.5278018034356999344	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2362	1	0.05665020760519027393 33.020532513359007964 1.5251848677195751769	0.34122929672231794296 -0.85906114750495943255 -2.2872905685433821965	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1453	1	41.563388431644959553 33.08570597052349882 0.81628019831208475932	0.62148128845328654002 0.43877532735339203063 -0.66764389007430235967	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
287	1	23.494710853905178993 37.912936133993838439 1.4389795148741078012	1.4894940584374682935 -0.28599598088663635842 0.68694676647343355658	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
734	1	31.242561182557665234 36.20755205019280254 0.41243073175846994838	-0.85526330853033072366 0.2052352214018525467 -0.35450045658754725242	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
65	1	32.8923769864174389 36.864486610136090405 1.5494160137396966181	-0.71945041269600140676 -1.5041797275575086168 0.99805403611618126458	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
943	1	11.513346529264911311 39.61161780855432113 2.1965145148527014385	0.49318667732898602285 -0.81404479085358327772 -0.0053582793295513311826	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
4308	1	11.346205611726217555 43.945245688045908139 1.7759654172408323447	1.1951284494923102297 0.99823263379565374542 0.22347012388411702233	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
4167	1	14.177335586316306859 45.34566621721287305 2.3102650697148465753	-0.83717319491929265141 0.11350914728522699948 -1.0496706986256698624	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2251	1	16.556319562472992857 44.910226160128765116 2.266114133903298633	-0.95411702040152546189 -0.46373373000521250775 -1.0675983291250161766	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2115	1	18.544647515436430751 46.240975168991454325 2.011210950659559682	0.90580542617241177616 -1.7527604072543128133 0.97817473908709751118	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2290	1	25.062146977363610745 44.918008477554351998 0.82928243462674733344	0.05233778308893806408 -0.67186186180933982204 1.245016314891028486	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2198	1	26.03930085662515026 45.468136996578842002 0.72563610341053275121	0.34062547978762153233 0.5055509363362583608 -0.62974854876953778593	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
4256	1	32.759709919337439032 46.108949679513123954 0.27540436947387669786	-0.66803676948868317975 0.76215940912368340676 -0.080762211732929120589	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
4290	1	10.03958277634022167 48.636869256235584658 1.6294181563218381736	0.3519188558768145958 -0.71210630167256050438 1.9947752714082012115	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
139	1	21.801637096725571041 48.753754843488295023 1.4115287949236516862	-0.88296915111065621407 0.71469671524612687907 0.59807605355769311029	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2249	1	6.684389906831789574 49.635328662193309412 0.6868473341935384946	-0.060518732520069680458 0.021141486553466509735 1.726235914479850253	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
4030	1	10.907035106572028127 51.192091857527351806 0.65475583292214600828	0.67849400835645157226 0.5247756826011389375 0.13086461378000724398	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1017	1	20.724521940048749258 50.205751932461865294 1.4068235015170516	-0.19604739051529057603 -0.88359368616463063173 -0.49946895975119898203	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
273	1	28.628504629912310264 50.678129655748492155 1.5053495697314809298	1.6700501980821718107 0.50736952379808208935 1.4804452724484253867	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1978	1	34.392013692078009512 51.272048336578919248 1.5203159791683005242	-2.0501874495028564738 0.22662997659942349382 -0.43982850955231456158	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
56	1	47.534126559078416108 49.299679992747705626 1.352153281872759738	0.63194791792412230436 -0.0854544627679826585 1.0757212099019339835	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
791	1	46.011256005954599857 51.353162435222323268 0.0074941096589646923748	0.83390245024820686126 1.41130814216500311 -0.36710711813432006512	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
327	1	21.994537744363512388 51.667455379138644389 1.6832295386020541539	0.25112008267716251497 -1.3717140597696884097 -0.53159081083654358135	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2619	1	42.623462559168835639 54.079116952143159835 1.8880394914867149048	1.0877340710138609925 0.25723679107671176824 0.43478781031524388334	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2239	1	4.0953840986415341874 56.934978113805676969 1.2917392654095416482	0.45187367250320914502 1.422292698018379653 -0.6636205592145876242	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
3144	1	11.662903162129341084 58.014800336933809888 1.5221755798447589303	-0.29955849412674379062 -0.78900409152643924404 0.017468885097900420378	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
2503	1	34.660818616363954447 58.487231161402874591 1.965254393941226585	-0.10318756924173558276 -1.3211810340419145593 -0.84551112898504021675	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
3966	1	1.5146188754654124065 59.364910393956222379 1.9966872661478389794	0.29492431607076308175 -0.41277192887696495527 -1.4872901255835235812	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
638	1	29.205538591584829788 60.742246397215367892 2.25838758814593632	0.45419898560295901557 1.0131538052883801715 0.52876044131799226911	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1742	1	28.257908708558915123 61.626183655392566152 0.57235684082265858574	0.70617536138034076032 0.44606685917975752442 -0.30529042800628097831	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
1791	1	38.654483955994166422 61.207793007189088996 0.99131735178406299447	-1.2979464439217487381 0.61315675119839718743 -1.1413641156518519182	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
3462	1	46.489745479818772367 59.86526822975136497 1.2050325944323878602	0.69806519629029673002 -0.86241914823531606871 -1.4048675637183980491	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
3979	1	39.376039678406137057 62.319077530868376869 1.2869281062138917537	0.66356347223994216478 1.2495835746700376667 0.64254044322545189605	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
558	1	17.078647607876138892 64.554309536928840885 0.062364044493551804016	0.13287120483383990655 0.54713157947455914876 -0.62854859774812643636	0.70710678118654757274 0.70710678118654757274 0 0	0 0 0	
