     simstep                 bin0000
         100  -6.437304254870625e-03
         200   2.046587822613040e-02
         300  -2.513771190648739e-03
         400   3.019657840326501e-02
         500  -2.922948380897578e-02
         600  -3.894105454277431e-03
         700  -1.768884856110280e-02
         800   1.053197455407703e-02
         900   1.751121931876520e-02
        1000  -4.025733088091909e-03
        1100   6.035387342195000e-03
        1200   4.710352409567148e-04
        1300  -1.877271500524046e-03
        1400  -8.268875184795792e-03
        1500  -2.548569869742084e-02
        1600  -3.925376915031671e-03
        1700   6.830772016680395e-03
        1800   9.347222822580364e-03
        1900  -2.087904990233017e-02
        2000   2.638952357616728e-02
        2100   8.035345995878849e-03
        2200  -1.298108403677317e-02
        2300   1.523973716370677e-02
        2400   8.873815830742123e-03
        2500  -1.505956358389358e-03
        2600  -8.941063861918173e-03
        2700   1.455289818864682e-02
        2800   8.169076855257636e-03
        2900  -9.059496062322895e-03
        3000   2.386607396213421e-03
        3100  -9.124514952596360e-03
        3200  -3.565659837796683e-04
        3300  -4.173926904331289e-03
        3400  -1.353088349365324e-02
        3500  -7.987396661740594e-03
        3600   1.938000444663023e-02
        3700   1.536287892439965e-02
        3800  -1.354305656349934e-02
        3900  -3.426873509750817e-03
        4000  -7.202521134250124e-03
        4100  -1.482579597962483e-02
        4200   2.683129094395542e-02
        4300  -4.448975980063176e-03
        4400  -4.783198696648313e-03
        4500   1.111037676042561e-03
        4600   9.972857164318198e-03
        4700  -1.033324815789474e-02
        4800  -1.361911141040098e-02
        4900   1.566056435610554e-02
        5000  -2.435162329627247e-02
        5100   8.109321530305153e-03
        5200   1.789412549464429e-02
        5300   7.493507853540354e-03
        5400   1.274062905587315e-02
        5500   5.510096651747177e-04
        5600  -7.887885683087697e-03
        5700  -8.106766058601568e-03
        5800   3.852661936973763e-04
        5900  -2.301722960482198e-02
        6000   2.959938167025518e-03
        6100   1.686714220016834e-02
        6200   1.254511987081952e-03
        6300  -1.690788293821089e-02
        6400   5.851896483495093e-03
        6500   2.332364719270586e-02
        6600   7.441236195662081e-03
        6700  -1.067171456574357e-02
        6800  -7.187734434824452e-03
        6900   1.365500605312094e-02
        7000  -1.040840271669474e-02
        7100  -2.586649848329260e-02
        7200  -5.046142600592208e-03
        7300   3.447969099642477e-03
        7400   8.451598448453689e-03
        7500  -7.056337237923823e-03
        7600   2.244830997347512e-02
        7700  -2.181183913298241e-03
        7800  -3.276082120962418e-04
        7900  -1.655370006688042e-02
        8000  -9.928464634492561e-03
        8100  -5.694801485872509e-04
        8200  -1.330913218290986e-02
        8300   5.345570087028370e-03
        8400   1.006832825894029e-02
        8500   6.798869809180235e-03
        8600  -6.050737804040029e-03
        8700   2.493882332707975e-03
        8800   1.942328538125649e-02
        8900  -4.562858049727521e-03
        9000   1.399300523780782e-03
        9100  -1.169238052884910e-02
        9200   5.699689627960031e-03
        9300   2.767564579744263e-03
        9400   1.254822407740086e-02
        9500  -6.436874404338603e-03
        9600   1.366892980269269e-02
        9700  -9.627785764961049e-03
        9800  -1.192917356382972e-02
        9900   3.612109753130164e-03
       10000   4.087801876387285e-03
       10100   2.154210305155627e-02
       10200  -8.770835073867214e-03
       10300   2.312990197285247e-02
       10400  -1.791829795051844e-03
       10500  -1.120038106550842e-02
       10600  -1.044778381607345e-02
       10700   1.113827838729983e-02
       10800  -2.110090720062841e-02
       10900   6.845211622093207e-03
       11000   7.697074279782781e-03
       11100   2.854741836463702e-03
       11200   6.774670844679555e-03
       11300  -2.225471394404044e-02
       11400  -1.906889227650229e-02
       11500  -1.360230764343275e-02
       11600   2.156618350027901e-02
       11700   7.648297521730292e-03
       11800  -1.173849323749459e-02
       11900   1.274401778635431e-02
       12000  -3.418580571820821e-03
       12100   2.560064643477571e-03
       12200  -2.897415112140542e-04
       12300   5.470364043427422e-03
       12400   1.301082671547026e-03
       12500   6.618264213717383e-03
       12600   4.246756313673323e-03
       12700  -1.411561213365947e-02
       12800  -3.828185754945818e-03
       12900   1.748543644002194e-02
       13000   1.063081469748620e-02
       13100  -1.843800570477047e-02
       13200   7.424811627088524e-03
       13300   8.991015248842736e-03
       13400  -8.370888774028048e-03
       13500   1.388949540187781e-03
       13600  -1.918244033212920e-02
       13700   2.368772828223124e-03
       13800  -5.960034524171701e-03
       13900   1.788839161674227e-02
       14000   1.371181138366026e-02
       14100  -7.974065770639005e-03
       14200   1.548387505204538e-02
       14300   1.846619413019211e-02
       14400  -1.097334480255937e-02
       14500  -1.148822794801440e-02
       14600  -1.631885016252901e-02
       14700   1.027892252602956e-02
       14800  -5.558366382345141e-03
       14900   7.713782792651560e-03
       15000   2.675776162773182e-03
       15100   3.856519293351862e-03
       15200  -5.533091314168549e-03
       15300  -1.794165524268039e-02
       15400  -1.530404174885720e-02
       15500   7.314919061124604e-03
       15600   9.399650742006774e-03
       15700  -1.310734733538041e-02
       15800   1.245467993173305e-02
       15900  -5.181592399575568e-03
       16000  -3.809537524221977e-03
       16100  -1.583300008677340e-02
       16200  -1.294980559273132e-02
       16300   1.831204710297099e-02
       16400   6.422881257233604e-03
       16500   5.077191505599066e-03
       16600  -1.575774365689480e-02
       16700   6.778465508009274e-03
       16800   1.995032774318864e-04
       16900  -1.324724798216149e-03
       17000   1.284167890156848e-02
       17100  -1.144734828558155e-02
       17200  -1.342835116032647e-02
       17300   1.932993384387075e-02
       17400   9.993387528008954e-03
       17500  -1.362963215161797e-02
       17600   2.490610189925166e-02
       17700   3.527955942554531e-03
       17800  -4.376787704544170e-03
       17900  -2.694872961789741e-04
       18000   4.758605746158101e-03
       18100   2.742039881327845e-04
       18200   1.439169001963237e-02
       18300  -1.344339460147253e-03
       18400  -1.220757282996123e-02
       18500  -8.013693686258139e-03
       18600  -4.107176109504275e-03
       18700  -1.599098692991391e-03
       18800   7.798258599957967e-03
       18900  -4.141406161482668e-03
       19000  -1.402051994653400e-03
       19100  -1.576689804192261e-03
       19200  -5.822985448530506e-03
       19300  -1.331846790172361e-03
       19400  -1.251021892016321e-02
       19500   1.914657522779112e-02
       19600   1.761809488517031e-02
       19700  -1.534030821130486e-02
       19800  -1.882526000443275e-02
       19900   1.353518436679052e-02
       20000  -9.162080531324095e-03
       20100  -9.448275288153982e-04
       20200   1.293269434560532e-02
       20300   1.314463505103638e-02
       20400   8.948819053319103e-03
       20500   1.508381762432446e-02
       20600   1.064088924847897e-02
       20700  -9.541175221571142e-03
       20800   3.957984884224119e-03
       20900  -4.595603140170662e-04
       21000  -1.103885783393929e-02
       21100   5.641242240717159e-03
       21200  -1.146252344801576e-03
       21300   1.430367685416262e-02
       21400  -2.774011264302071e-03
       21500  -8.066182060391482e-03
       21600   1.370488224733210e-02
       21700   6.582316919099634e-03
       21800  -1.702023385606691e-02
       21900  -6.912621291592044e-03
       22000   4.396276561293542e-03
       22100  -3.818953418306715e-03
       22200  -1.898064816408692e-03
       22300   1.657107629024639e-02
       22400   6.752530834316562e-05
       22500   1.615910280326158e-02
       22600  -2.019086625634945e-02
       22700   2.301404852467355e-04
       22800   3.665282208385395e-02
       22900   9.422968287091601e-03
       23000   1.448828538156507e-02
       23100  -1.554847714659139e-02
       23200   1.497238854311282e-03
       23300  -2.533390741040002e-03
       23400   7.086406367461878e-03
       23500   1.495667931198276e-02
       23600  -2.121465902488720e-02
       23700   9.878723340834185e-03
       23800   1.883277515950034e-03
       23900  -1.933494929292266e-02
       24000   7.248285067865530e-03
       24100   3.119286086254187e-02
       24200   2.150849124065381e-02
       24300  -9.423555350894135e-03
       24400   9.711747481181280e-04
       24500  -2.424047959311550e-02
       24600   8.383721680949382e-03
       24700  -1.724145669863414e-02
       24800  -9.666729077445991e-03
       24900   1.072516296749968e-02
       25000  -7.251258352000765e-03
       25100   3.173035671569222e-03
       25200  -5.240533825485979e-03
       25300   2.479072541199050e-02
       25400  -3.302270748247433e-03
       25500  -8.279562551542363e-03
       25600   6.071200210038133e-03
       25700   2.535696732811249e-03
       25800   6.622419547811987e-03
       25900   3.044582550189414e-02
       26000  -1.097979940811580e-02
       26100  -9.698104571590413e-03
       26200  -5.609055685614503e-03
       26300   3.943816106196230e-03
       26400   1.944335124377632e-02
       26500  -1.125562302599887e-02
       26600  -1.079301557314087e-02
       26700  -7.491376804558311e-03
       26800   7.225232180231904e-03
       26900   6.634166150445344e-03
       27000   2.170930688567896e-03
       27100  -1.456208727376259e-02
       27200   1.879624707577889e-02
       27300   1.867477325433475e-02
       27400   3.309017799943869e-03
       27500   1.462374246565771e-02
       27600  -1.707316240034329e-02
       27700  -5.880875642145778e-03
       27800  -1.115515966198153e-02
       27900   1.336521397351747e-02
       28000   7.122377582813666e-03
       28100   5.682537892123120e-03
       28200   2.256312708451653e-02
       28300   1.581769576689069e-03
       28400   4.815545648087552e-03
       28500   7.411107159234349e-03
       28600   2.477610437858945e-02
       28700  -6.468934457923343e-03
       28800   8.323922060378514e-03
       28900  -9.177115955937239e-03
       29000   6.518120977783298e-03
       29100   4.729685165493003e-03
       29200  -2.701964997802876e-03
       29300  -9.609889661972133e-03
       29400   5.774444774900144e-03
       29500   9.004712148890263e-04
       29600  -8.841808571196534e-03
       29700   4.993452549072095e-03
       29800  -5.894835218811066e-03
       29900  -5.749044419265481e-03
       30000  -2.776056500981923e-03
