     simstep              dBetaTrans                dBetaRot
       18800   1.000026853645350e+00   1.000000000000000e+00
       18900   1.000005853201235e+00   1.000000000000000e+00
       19000   9.999871929310267e-01   1.000000000000000e+00
       19100   1.000008117260829e+00   1.000000000000000e+00
       19200   9.999779995731493e-01   1.000000000000000e+00
       19300   1.000019295302573e+00   1.000000000000000e+00
       19400   9.999845998889717e-01   1.000000000000000e+00
       19500   9.998933958475574e-01   1.000000000000000e+00
       19600   1.000008670989087e+00   1.000000000000000e+00
       19700   1.000010871000137e+00   1.000000000000000e+00
       19800   1.000086884155949e+00   1.000000000000000e+00
       19900   9.999623692181824e-01   1.000000000000000e+00
       20000   9.999260719422611e-01   1.000000000000000e+00
       20100   1.000082921069087e+00   1.000000000000000e+00
       20200   1.000024714490670e+00   1.000000000000000e+00
       20300   9.999836319002050e-01   1.000000000000000e+00
       20400   9.999789692288562e-01   1.000000000000000e+00
       20500   1.000042138400302e+00   1.000000000000000e+00
       20600   9.999736315818606e-01   1.000000000000000e+00
       20700   9.999166429750425e-01   1.000000000000000e+00
       20800   1.000039697413493e+00   1.000000000000000e+00
       20900   9.999336725518738e-01   1.000000000000000e+00
       21000   1.000014131937369e+00   1.000000000000000e+00
       21100   9.999987144830690e-01   1.000000000000000e+00
       21200   1.000147774771590e+00   1.000000000000000e+00
       21300   9.999147280181550e-01   1.000000000000000e+00
       21400   1.000049878679872e+00   1.000000000000000e+00
       21500   9.999764277524462e-01   1.000000000000000e+00
       21600   9.999051292028055e-01   1.000000000000000e+00
       21700   9.999953511714199e-01   1.000000000000000e+00
       21800   9.999576609210553e-01   1.000000000000000e+00
       21900   1.000039753152761e+00   1.000000000000000e+00
       22000   9.999831604644405e-01   1.000000000000000e+00
       22100   1.000068788370919e+00   1.000000000000000e+00
       22200   9.999583746205669e-01   1.000000000000000e+00
       22300   9.999939309643010e-01   1.000000000000000e+00
       22400   1.000118765258373e+00   1.000000000000000e+00
       22500   9.999270815072574e-01   1.000000000000000e+00
       22600   1.000026088951808e+00   1.000000000000000e+00
       22700   1.000075932490914e+00   1.000000000000000e+00
       22800   9.999118730475219e-01   1.000000000000000e+00
       22900   9.999848583716130e-01   1.000000000000000e+00
       23000   9.999991233798758e-01   1.000000000000000e+00
       23100   1.000080338482956e+00   1.000000000000000e+00
       23200   1.000027236097158e+00   1.000000000000000e+00
       23300   9.999436902105786e-01   1.000000000000000e+00
       23400   9.998990730848358e-01   1.000000000000000e+00
       23500   1.000002490672313e+00   1.000000000000000e+00
       23600   9.999310007095261e-01   1.000000000000000e+00
       23700   1.000098137306758e+00   1.000000000000000e+00
       23800   1.000011011251992e+00   1.000000000000000e+00
       23900   1.000149893600629e+00   1.000000000000000e+00
       24000   1.000053919920136e+00   1.000000000000000e+00
       24100   9.998620048108433e-01   1.000000000000000e+00
       24200   9.999535683554120e-01   1.000000000000000e+00
       24300   1.000092139789257e+00   1.000000000000000e+00
       24400   9.999170628815623e-01   1.000000000000000e+00
       24500   9.999535836993387e-01   1.000000000000000e+00
       24600   9.999964968701908e-01   1.000000000000000e+00
       24700   1.000109774993834e+00   1.000000000000000e+00
       24800   9.999467771405526e-01   1.000000000000000e+00
       24900   1.000073062798437e+00   1.000000000000000e+00
       25000   9.999548212102015e-01   1.000000000000000e+00
       25100   1.000028129601731e+00   1.000000000000000e+00
       25200   9.999202436855444e-01   1.000000000000000e+00
       25300   9.999569410427015e-01   1.000000000000000e+00
       25400   9.999633671763750e-01   1.000000000000000e+00
       25500   1.000076866600758e+00   1.000000000000000e+00
       25600   1.000018300008183e+00   1.000000000000000e+00
       25700   9.998659431001109e-01   1.000000000000000e+00
       25800   9.999670367189764e-01   1.000000000000000e+00
       25900   1.000096957968952e+00   1.000000000000000e+00
       26000   9.999890575025663e-01   1.000000000000000e+00
       26100   1.000038175242955e+00   1.000000000000000e+00
       26200   9.999750555952427e-01   1.000000000000000e+00
       26300   9.999252681270465e-01   1.000000000000000e+00
       26400   1.000066880419815e+00   1.000000000000000e+00
       26500   9.999647481681297e-01   1.000000000000000e+00
       26600   1.000061052450407e+00   1.000000000000000e+00
       26700   9.999514818184463e-01   1.000000000000000e+00
       26800   9.999710469908381e-01   1.000000000000000e+00
       26900   1.000011923743064e+00   1.000000000000000e+00
       27000   1.000040288230364e+00   1.000000000000000e+00
       27100   9.999446452040706e-01   1.000000000000000e+00
       27200   1.000143589125167e+00   1.000000000000000e+00
       27300   9.998839115018366e-01   1.000000000000000e+00
       27400   1.000004228084553e+00   1.000000000000000e+00
       27500   9.999918757066142e-01   1.000000000000000e+00
       27600   9.999976117091461e-01   1.000000000000000e+00
       27700   1.000001161073804e+00   1.000000000000000e+00
       27800   9.999490845801151e-01   1.000000000000000e+00
       27900   1.000030566463775e+00   1.000000000000000e+00
       28000   1.000088154149266e+00   1.000000000000000e+00
       28100   1.000054856954146e+00   1.000000000000000e+00
       28200   9.999371832553563e-01   1.000000000000000e+00
       28300   1.000056060388502e+00   1.000000000000000e+00
       28400   9.999875610825951e-01   1.000000000000000e+00
       28500   9.999226593392895e-01   1.000000000000000e+00
       28600   9.999253388512500e-01   1.000000000000000e+00
       28700   1.000089371752540e+00   1.000000000000000e+00
       28800   9.998755895683435e-01   1.000000000000000e+00
       28900   1.000055853767317e+00   1.000000000000000e+00
       29000   9.999711401946704e-01   1.000000000000000e+00
       29100   1.000031372709667e+00   1.000000000000000e+00
       29200   9.999837657963251e-01   1.000000000000000e+00
       29300   1.000079365659827e+00   1.000000000000000e+00
       29400   1.000030798081320e+00   1.000000000000000e+00
       29500   9.999842826319231e-01   1.000000000000000e+00
       29600   9.998779059853289e-01   1.000000000000000e+00
       29700   1.000006283692669e+00   1.000000000000000e+00
       29800   9.999271252397749e-01   1.000000000000000e+00
       29900   1.000022011895930e+00   1.000000000000000e+00
       30000   9.999740494833913e-01   1.000000000000000e+00
