                  height                  radius                numParts                     rho                       T                    ekin                       p                     T_r                     T_y                     T_t                     v_r                     v_y                     v_t                     p_r                     p_y                     p_t              numSamples
   1.675000000000000e+01   2.500000000000000e-01                     nan   0.000000000000000e+00                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                       0
   1.725000000000000e+01   2.500000000000000e-01                     nan   0.000000000000000e+00                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                       0
   1.775000000000000e+01   2.500000000000000e-01                     nan   0.000000000000000e+00                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                       0
   1.825000000000000e+01   2.500000000000000e-01   3.000000000000000e-02   7.639437268386155e-02   3.542322340187860e-01   5.316207728371699e-01   3.844300293213837e-01   2.385599029451700e-02   4.212990674972110e-01   6.175416442646299e-01   1.652398896269574e-03   1.920921794226875e-02  -1.315747475451279e-02                     nan  -1.145225226100455e-01                     nan                     400
   1.875000000000000e+01   2.500000000000000e-01                     nan   0.000000000000000e+00                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                       0
   1.925000000000000e+01   2.500000000000000e-01   2.575000000000000e-01   6.557183655364784e-01   7.585039098976987e-01   1.172280757970214e+00  -9.963034729391395e-01   5.128746973304739e-01   1.129805848986394e+00   6.328311833762281e-01  -1.090680776857726e-01   2.379199527658231e-01  -2.341018481709884e-02                     nan  -2.288579964343623e+00                     nan                     400
   1.975000000000000e+01   2.500000000000000e-01   1.250000000000000e-02   3.183098861827565e-02   1.111727038421605e+00   1.667849966543883e+00   8.270460343154480e-02   1.853483030402095e-01   1.499621657470712e+00   1.650211154753893e+00   5.279260550398775e-03   1.527205320336679e-02   1.605339907762434e-02                     nan  -8.119496324780670e-03                     nan                     400
   2.025000000000000e+01   2.500000000000000e-01   4.500000000000000e-02   1.145915590257923e-01   9.821506598656721e-01   1.476162849625015e+00  -3.329483399301738e-02   2.101079376051346e+00   5.883051207334178e-01   2.570674828122526e-01  -6.496147750425302e-02   3.391192413026324e-02   2.244342877685439e-02                     nan  -4.079187053190912e-01                     nan                     400
   2.075000000000000e+01   2.500000000000000e-01   5.800000000000000e-01   1.476957871887990e+00   6.192706209792965e-01   9.996653590316451e-01  -8.946278727702129e-01   1.220122624223803e+00   2.800416849106183e-01   3.576475538034665e-01  -2.287905550867130e-01   2.085864373264299e-03  -2.986124347684312e-01                     nan  -3.262210699200658e+00                     nan                     400
   2.125000000000000e+01   2.500000000000000e-01   5.100000000000000e-01   1.298704335625646e+00   6.636751258109816e-01   1.008481257248650e+00   5.430652278272088e-01   1.337771792480741e+00   1.488335213135124e-01   5.044200636386919e-01   8.371657049707588e-02   1.061430315135061e-02  -1.371714600679578e-01                     nan   5.766375025381865e-02                     nan                     400
   2.175000000000000e+01   2.500000000000000e-01   6.750000000000000e-02   1.718873385386885e-01   2.294084358355649e+00   3.451053996486503e+00  -1.974355586682358e-01   1.370590959190605e+00   4.142799291446200e-01   5.097382186731721e+00   1.276493751722147e-02  -2.073229097920892e-02  -1.387881348926982e-01                     nan   6.864924085944614e-03                     nan                     400
