     simstep              dBetaTrans                dBetaRot
         100   1.000127350244142e+00   1.000000000000000e+00
         200   1.000032521096458e+00   1.000000000000000e+00
         300   1.000179617770661e+00   1.000000000000000e+00
         400   9.997972652116890e-01   1.000000000000000e+00
         500   9.999528089050642e-01   1.000000000000000e+00
         600   9.998307623071508e-01   1.000000000000000e+00
         700   9.999614589943230e-01   1.000000000000000e+00
         800   1.000119699751672e+00   1.000000000000000e+00
         900   9.999496121813819e-01   1.000000000000000e+00
        1000   1.000042112405277e+00   1.000000000000000e+00
        1100   1.000147150266040e+00   1.000000000000000e+00
        1200   1.000087014459736e+00   1.000000000000000e+00
        1300   9.999635189308624e-01   1.000000000000000e+00
        1400   9.999544879968091e-01   1.000000000000000e+00
        1500   1.000006060206153e+00   1.000000000000000e+00
        1600   1.000026952330224e+00   1.000000000000000e+00
        1700   9.999163303886096e-01   1.000000000000000e+00
        1800   9.999478256982346e-01   1.000000000000000e+00
        1900   9.999938389383359e-01   1.000000000000000e+00
        2000   1.000038560545799e+00   1.000000000000000e+00
        2100   9.999547690080534e-01   1.000000000000000e+00
        2200   1.000006720643709e+00   1.000000000000000e+00
        2300   1.000120822343757e+00   1.000000000000000e+00
        2400   9.998659140221539e-01   1.000000000000000e+00
        2500   1.000076892379398e+00   1.000000000000000e+00
        2600   1.000009802868897e+00   1.000000000000000e+00
        2700   9.999742800187101e-01   1.000000000000000e+00
        2800   9.999898091795770e-01   1.000000000000000e+00
        2900   9.999734631082848e-01   1.000000000000000e+00
        3000   1.000068113481941e+00   1.000000000000000e+00
        3100   9.999937376943332e-01   1.000000000000000e+00
        3200   9.999265725438814e-01   1.000000000000000e+00
        3300   9.999988392597980e-01   1.000000000000000e+00
        3400   1.000073624205731e+00   1.000000000000000e+00
        3500   9.999646421688988e-01   1.000000000000000e+00
        3600   1.000060789280669e+00   1.000000000000000e+00
        3700   1.000071833217101e+00   1.000000000000000e+00
        3800   9.999482295542963e-01   1.000000000000000e+00
        3900   9.999926179544604e-01   1.000000000000000e+00
        4000   1.000073072017637e+00   1.000000000000000e+00
        4100   9.999988014029344e-01   1.000000000000000e+00
        4200   9.999872950116467e-01   1.000000000000000e+00
        4300   1.000016919400981e+00   1.000000000000000e+00
        4400   9.999831701545856e-01   1.000000000000000e+00
        4500   9.998979972739325e-01   1.000000000000000e+00
        4600   9.999905853322679e-01   1.000000000000000e+00
        4700   9.999094314209694e-01   1.000000000000000e+00
        4800   9.999693812953466e-01   1.000000000000000e+00
        4900   1.000062346984374e+00   1.000000000000000e+00
        5000   1.000047848119819e+00   1.000000000000000e+00
        5100   1.000035714837744e+00   1.000000000000000e+00
        5200   1.000151060138050e+00   1.000000000000000e+00
        5300   9.999791255145215e-01   1.000000000000000e+00
        5400   9.998882913554686e-01   1.000000000000000e+00
        5500   9.999760980514295e-01   1.000000000000000e+00
        5600   9.999708521420860e-01   1.000000000000000e+00
        5700   9.999938743527308e-01   1.000000000000000e+00
        5800   1.000051346687800e+00   1.000000000000000e+00
        5900   9.999268056977104e-01   1.000000000000000e+00
        6000   1.000003042250324e+00   1.000000000000000e+00
        6100   1.000004114923809e+00   1.000000000000000e+00
        6200   9.999624865888003e-01   1.000000000000000e+00
        6300   9.999623170389498e-01   1.000000000000000e+00
        6400   9.999124154431287e-01   1.000000000000000e+00
        6500   1.000087416982790e+00   1.000000000000000e+00
        6600   1.000013348827244e+00   1.000000000000000e+00
        6700   1.000103646103347e+00   1.000000000000000e+00
        6800   9.999678913088473e-01   1.000000000000000e+00
        6900   1.000094598053574e+00   1.000000000000000e+00
        7000   9.999528665474960e-01   1.000000000000000e+00
        7100   1.000017323344751e+00   1.000000000000000e+00
        7200   9.999544498042768e-01   1.000000000000000e+00
        7300   9.999462976877727e-01   1.000000000000000e+00
        7400   9.999534554807480e-01   1.000000000000000e+00
        7500   1.000050100268732e+00   1.000000000000000e+00
