     simstep                    bin1
        1000  -1.345302354813217e+01
        2000   7.252592477026411e+01
        3000   3.328686568504691e+01
        4000   9.264288417271652e+01
        5000  -1.324245411643605e+02
        6000  -2.635095180498017e+01
        7000   5.271149291891027e+01
        8000  -1.629384725244748e+02
        9000   6.919144945190962e+01
       10000   5.013876153155978e+01
       11000  -6.772963720255950e+01
       12000   1.467149668928279e+01
       13000  -9.055108266405091e+00
       14000  -7.779578720214113e+01
       15000  -4.175420897205897e+01
       16000  -2.832511555440744e+01
       17000  -1.705576779279914e+01
       18000  -2.493661606856479e+01
       19000   1.510565738661764e+01
       20000   3.017046493299807e+01
       21000   3.095091574422133e+01
       22000  -1.143753821611182e+02
       23000   1.667335362735846e+02
       24000  -9.656132356523430e+01
       25000   5.984641147690729e+01
       26000   1.064259426283123e+02
       27000   3.170739533214729e+01
       28000  -1.232529922780178e+02
       29000   4.702441373771161e+01
       30000   1.084140523989003e+02
